2012,Safety Not Guaranteed,7.1,Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel.,5160
2004,The Machinist,7.7,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,6060
2004,Ocean's Twelve,6.2,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's 11.,7500
2001,Black Hawk Down,7.7,123 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,8640
2012,Resident Evil: Retribution,5.2,Alice fights alongside a resistance movement in the continuing battle against the Umbrella Corporation and the undead.,5760
2007,P.S. I Love You,6.9,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,7560
2006,Little Miss Sunshine,7.9,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,6060
2013,Peeples,4.2,Sparks fly when Wade Walker crashes the Peeples annual reunion in the Hamptons to ask for their precious daughter Grace's hand in marriage.,5700
2008,Bolt,7,The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,5760
2006,The Pursuit of Happyness,7.8,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional endeavor.,7020
2013,The Lunchbox,7.9,,6240
2013,Closed Circuit,5.8,A high-profile terrorism case unexpectedly binds together two ex-lovers on the defense team - testing the limits of their loyalties and placing their lives in jeopardy.,5760
2010,Prince of Persia: The Sands of Time,6.5,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,6960
1991,City Slickers,6.7,A mid-life crisis plagued man and his friends find renewal and purpose on a cattle driving vacation.,6780
1989,Batman,7.5,The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.,7560
